image,roof_area_px,damage_count,damage_density,mean_confidence,max_confidence,set,cluster,PCA1,PCA2,image_render
austin11_1536_512_png.rf.c1e9ea245fb7b426ea864758697162ca.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598117182,0.07342676087061831,results/train_inference/train_inference/austin11_1536_512_png.rf.c1e9ea245fb7b426ea864758697162ca.jpg
austin11_1536_512_png.rf.cbc283c21ae254df661b6ff59e721246.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116867,0.07342676087060333,results/train_inference/train_inference/austin11_1536_512_png.rf.cbc283c21ae254df661b6ff59e721246.jpg
austin11_2560_2048_png.rf.467e42305b8c43ab7bd91b8e570725ab.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.0734267608705961,results/train_inference/train_inference/austin11_2560_2048_png.rf.467e42305b8c43ab7bd91b8e570725ab.jpg
austin11_2560_2048_png.rf.614a809f716f7df276945ed0b2585d9b.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_2560_2048_png.rf.614a809f716f7df276945ed0b2585d9b.jpg
austin11_2560_2048_png.rf.c0f2725e2ff82ca27199e507a7e49502.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_2560_2048_png.rf.c0f2725e2ff82ca27199e507a7e49502.jpg
austin11_4096_4096_png.rf.7744b5166ca1cda71ec546fe3ad2e77e.jpg,262144,1,4e-06,0.3766,0.3766,train,1,2.3205022936995467,-0.8548284103341742,results/train_inference/train_inference/austin11_4096_4096_png.rf.7744b5166ca1cda71ec546fe3ad2e77e.jpg
austin11_4096_4096_png.rf.95d77258e56c0606b38d358452e2aca7.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_4096_4096_png.rf.95d77258e56c0606b38d358452e2aca7.jpg
austin11_4096_4096_png.rf.eee811c85d9232fad869c9d6d2f0729d.jpg,262144,2,8e-06,0.3628,0.3719,train,1,2.6256443513581713,-0.20268711299950679,results/train_inference/train_inference/austin11_4096_4096_png.rf.eee811c85d9232fad869c9d6d2f0729d.jpg
austin11_512_3584_png.rf.164b73c689326b8ef23395e69ff3c33c.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_512_3584_png.rf.164b73c689326b8ef23395e69ff3c33c.jpg
austin11_512_3584_png.rf.2f6719277d3e08cf5cacd1b6940fa4bb.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_512_3584_png.rf.2f6719277d3e08cf5cacd1b6940fa4bb.jpg
austin11_512_3584_png.rf.327a05589676a30782ff2042fbd6adcb.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_512_3584_png.rf.327a05589676a30782ff2042fbd6adcb.jpg
austin11_512_3584_png.rf.a2deb16d3ed1791d7f351696d7874021.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_512_3584_png.rf.a2deb16d3ed1791d7f351696d7874021.jpg
austin11_512_3584_png.rf.d64d763e825bd6396ed55a421916d338.jpg,262144,0,0.0,0.0,0.0,train,0,-0.5827724598116718,0.07342676087059613,results/train_inference/train_inference/austin11_512_3584_png.rf.d64d763e825bd6396ed55a421916d338.jpg
